#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, kind='mean', investigation_time=50.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
11.58000,42.32000,0.00000,7.993686E-01,6.614430E-01,5.060167E-01,3.587019E-01,2.380559E-01,1.501590E-01,9.145263E-02,5.445937E-02,3.192485E-02,1.843967E-02,1.045309E-02,5.772783E-03,3.074943E-03,1.561026E-03,7.450678E-04,3.292511E-04,1.322985E-04,4.714859E-05,1.423190E-05,3.317720E-06
13.10000,42.79000,0.00000,9.960841E-01,9.840551E-01,9.514515E-01,8.852027E-01,7.806296E-01,6.474076E-01,5.050356E-01,3.726252E-01,2.619094E-01,1.764476E-01,1.143687E-01,7.140160E-02,4.286866E-02,2.464734E-02,1.348335E-02,6.958454E-03,3.352276E-03,1.488891E-03,5.994769E-04,2.139861E-04
