#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, kind='mean', investigation_time=50.0, imt='SA(0.1)'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
11.58000,42.32000,0.00000,9.769669E-01,9.504845E-01,9.053533E-01,8.376388E-01,7.476749E-01,6.410379E-01,5.271707E-01,4.163330E-01,3.167201E-01,2.330042E-01,1.664025E-01,1.156655E-01,7.834192E-02,5.167833E-02,3.314522E-02,2.061453E-02,1.239165E-02,7.171314E-03,3.975919E-03,2.100292E-03
13.10000,42.79000,0.00000,9.999980E-01,9.999833E-01,9.999046E-01,9.995821E-01,9.984518E-01,9.949911E-01,9.860273E-01,9.664961E-01,9.299990E-01,8.706313E-01,7.859833E-01,6.794295E-01,5.595738E-01,4.378079E-01,3.248513E-01,2.283634E-01,1.519232E-01,9.552952E-02,5.660706E-02,3.151623E-02
