#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, kind='mean', investigation_time=50.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
11.58000,42.32000,0.00000,9.957967E-01,9.864557E-01,9.636993E-01,9.181446E-01,8.424733E-01,7.367660E-01,6.105782E-01,4.794736E-01,3.584425E-01,2.569375E-01,1.778534E-01,1.194868E-01,7.809018E-02,4.963880E-02,3.063589E-02,1.830447E-02,1.054940E-02,5.835211E-03,3.077597E-03,1.535381E-03
13.10000,42.79000,0.00000,1.000000E+00,9.999999E-01,9.999980E-01,9.999782E-01,9.998329E-01,9.990292E-01,9.956463E-01,9.847583E-01,9.574867E-01,9.031295E-01,8.149955E-01,6.960698E-01,5.592291E-01,4.218973E-01,2.991324E-01,1.996392E-01,1.255574E-01,7.436801E-02,4.137383E-02,2.149224E-02
