#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, kind='mean', investigation_time=50.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
11.58000,42.32000,0.00000,8.982511E-01,8.140717E-01,7.022614E-01,5.743695E-01,4.460771E-01,3.308505E-01,2.361010E-01,1.632062E-01,1.097377E-01,7.185290E-02,4.575316E-02,2.824692E-02,1.684098E-02,9.650330E-03,5.283020E-03,2.742411E-03,1.337137E-03,6.059465E-04,2.517270E-04,9.446265E-05
13.10000,42.79000,0.00000,9.999348E-01,9.996071E-01,9.981304E-01,9.929072E-01,9.783499E-01,9.457800E-01,8.861120E-01,7.950030E-01,6.767342E-01,5.435922E-01,4.110252E-01,2.922970E-01,1.953189E-01,1.224395E-01,7.175943E-02,3.912920E-02,1.969535E-02,9.050430E-03,3.750302E-03,1.375766E-03
