#,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, investigation_time=50.0, mag_bin_edges=[4.0, 5.0, 6.0, 7.0, 8.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0], lon_bin_edges=[9.14742030280496, 9.417706935826633, 9.687993568848304, 9.958280201869977, 10.22856683489165, 10.498853467913321, 10.769140100934994, 11.039426733956667, 11.30971336697834, 11.580000000000013, 11.850286633021684, 12.120573266043356, 12.39085989906503, 12.6611465320867, 12.931433165108373, 13.201719798130046, 13.47200643115172, 13.742293064173392, 14.012579697195063], lat_bin_edges=[40.52136, 40.72120888888889, 40.921057777777776, 41.12090666666667, 41.32075555555556, 41.520604444444444, 41.72045333333333, 41.920302222222226, 42.12015111111111, 42.32, 42.51984888888889, 42.71969777777778, 42.91954666666667, 43.119395555555556, 43.31924444444444, 43.51909333333334, 43.718942222222225, 43.91879111111111, 44.11864], eps_bin_edges=[-3.0, -1.0, 1.0, 3.0], tectonic_region_types=['Shallow Default'], rlz_ids=[12], weights=[1.0], lon=11.580000000000013, lat=42.32"
imt,poe,dist,rlz12
PGA,0.1,5.00000E+00,2.71596E-02
PGA,0.1,1.50000E+01,4.43474E-02
PGA,0.1,2.50000E+01,2.10392E-02
PGA,0.1,3.50000E+01,7.96215E-03
PGA,0.1,4.50000E+01,2.52143E-03
PGA,0.1,5.50000E+01,7.79936E-04
PGA,0.1,6.50000E+01,1.89493E-04
PGA,0.1,7.50000E+01,3.11867E-05
PGA,0.1,8.50000E+01,2.21074E-05
PGA,0.1,9.50000E+01,1.67354E-05
PGA,0.1,1.05000E+02,5.10797E-06
PGA,0.1,1.15000E+02,3.60508E-07
PGA,0.1,1.25000E+02,0.00000E+00
PGA,0.1,1.35000E+02,0.00000E+00
PGA,0.1,1.45000E+02,0.00000E+00
PGA,0.1,1.55000E+02,0.00000E+00
PGA,0.1,1.65000E+02,0.00000E+00
PGA,0.1,1.75000E+02,0.00000E+00
PGA,0.1,1.85000E+02,0.00000E+00
PGA,0.1,1.95000E+02,0.00000E+00
PGA,0.05,5.00000E+00,1.95322E-02
PGA,0.05,1.50000E+01,2.18854E-02
PGA,0.05,2.50000E+01,7.36908E-03
PGA,0.05,3.50000E+01,1.86004E-03
PGA,0.05,4.50000E+01,3.53201E-04
PGA,0.05,5.50000E+01,3.66084E-05
PGA,0.05,6.50000E+01,5.18420E-07
PGA,0.05,7.50000E+01,1.12233E-06
PGA,0.05,8.50000E+01,4.74772E-07
PGA,0.05,9.50000E+01,7.89319E-10
PGA,0.05,1.05000E+02,0.00000E+00
PGA,0.05,1.15000E+02,0.00000E+00
PGA,0.05,1.25000E+02,0.00000E+00
PGA,0.05,1.35000E+02,0.00000E+00
PGA,0.05,1.45000E+02,0.00000E+00
PGA,0.05,1.55000E+02,0.00000E+00
PGA,0.05,1.65000E+02,0.00000E+00
PGA,0.05,1.75000E+02,0.00000E+00
PGA,0.05,1.85000E+02,0.00000E+00
PGA,0.05,1.95000E+02,0.00000E+00
SA(0.1),0.1,5.00000E+00,2.80934E-02
SA(0.1),0.1,1.50000E+01,4.64654E-02
SA(0.1),0.1,2.50000E+01,2.00205E-02
SA(0.1),0.1,3.50000E+01,6.65749E-03
SA(0.1),0.1,4.50000E+01,1.82987E-03
SA(0.1),0.1,5.50000E+01,4.77548E-04
SA(0.1),0.1,6.50000E+01,7.40741E-05
SA(0.1),0.1,7.50000E+01,5.73678E-06
SA(0.1),0.1,8.50000E+01,5.23421E-06
SA(0.1),0.1,9.50000E+01,1.33716E-06
SA(0.1),0.1,1.05000E+02,2.33147E-09
SA(0.1),0.1,1.15000E+02,0.00000E+00
SA(0.1),0.1,1.25000E+02,0.00000E+00
SA(0.1),0.1,1.35000E+02,0.00000E+00
SA(0.1),0.1,1.45000E+02,0.00000E+00
SA(0.1),0.1,1.55000E+02,0.00000E+00
SA(0.1),0.1,1.65000E+02,0.00000E+00
