,Network,Station,Event,SF,dt,npts,Mw,R,Vs30,Fname1,Fname2,url
23,IV,T1256,EMSC-20161101_0000060,3.5071580497043766,0.005,17944,4.8,,761.081811,IV.T1256..HNE.D.EMSC-20161101_0000060.ACC.MP.ASC,IV.T1256..HNN.D.EMSC-20161101_0000060.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/T1256/00/EMSC-20161101_0000060/HG
24,IT,AQP,IT-2009-0140,3.03796962455355,0.005,18600,5.2,,836.0,IT.AQP..HNE.D.IT-2009-0140.ACC.MP.ASC,IT.AQP..HNN.D.IT-2009-0140.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AQP/00/IT-2009-0140/HG
25,IT,AQG,IT-2009-0047,2.171304556033923,0.005,8001,4.5,,696.0,IT.AQG..HNE.D.IT-2009-0047.ACC.MP.ASC,IT.AQG..HNN.D.IT-2009-0047.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AQG/00/IT-2009-0047/HG
26,IV,RM05,IT-2009-0102,2.1617665786152904,0.005,9980,5.5,20.45,617.276579,IV.RM05..HNE.D.IT-2009-0102.ACC.MP.ASC,IV.RM05..HNN.D.IT-2009-0102.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/RM05/00/IT-2009-0102/HG
27,HL,DMKA,GR-1999-0001,3.8397224262125733,0.005,10000,5.9,19.55,767.148673,HL.DMKA..HN2.D.GR-1999-0001.ACC.MP.ASC,HL.DMKA..HN3.D.GR-1999-0001.ACC.MP.ASC,https://esm-db.eu/#/waveform/HL/DMKA/00/GR-1999-0001/HG
28,IT,AMT,EMSC-20160825_0000096,0.8583619660570835,0.005,5446,4.4,,670.0,IT.AMT..HGE.D.EMSC-20160825_0000096.ACC.MP.ASC,IT.AMT..HGN.D.EMSC-20160825_0000096.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AMT/00/EMSC-20160825_0000096/HG
29,IT,FORC,IT-1997-0145,3.9443140529209066,0.005,4000,4.1,,855.33467,IT.FORC..HNE.D.IT-1997-0145.ACC.MP.ASC,IT.FORC..HNN.D.IT-1997-0145.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/FORC/00/IT-1997-0145/HG
30,IT,AMT,EMSC-20160824_0000006,0.24671282090621607,0.005,5579,6.0,1.38,670.0,IT.AMT..HGE.D.EMSC-20160824_0000006.ACC.MP.ASC,IT.AMT..HGN.D.EMSC-20160824_0000006.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AMT/00/EMSC-20160824_0000006/HG
31,IV,T1216,EMSC-20161026_0000133,3.952480365416873,0.005,16828,4.5,,804.820331,IV.T1216..HNE.D.EMSC-20161026_0000133.ACC.MP.ASC,IV.T1216..HNN.D.EMSC-20161026_0000133.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/T1216/00/EMSC-20161026_0000133/HG
32,IV,RM10,IT-2009-0102,3.0689174175078775,0.005,9980,5.5,30.03,614.301664,IV.RM10..HNE.D.IT-2009-0102.ACC.MP.ASC,IV.RM10..HNN.D.IT-2009-0102.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/RM10/00/IT-2009-0102/HG
33,TK,4101,TK-1999-0294,0.5764679152070077,0.005,3807,5.8,8.85,827.0,TK.4101..HNE.D.TK-1999-0294.ACC.MP.ASC,TK.4101..HNN.D.TK-1999-0294.ACC.MP.ASC,https://esm-db.eu/#/waveform/TK/4101/00/TK-1999-0294/HG
34,IT,AMT,EMSC-20160824_0000013,1.3083624497049515,0.005,12728,5.3,,670.0,IT.AMT..HGE.D.EMSC-20160824_0000013.ACC.MP.ASC,IT.AMT..HGN.D.EMSC-20160824_0000013.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AMT/00/EMSC-20160824_0000013/HG
35,IV,T1244,EMSC-20161030_0000033,2.773265821999637,0.005,12375,4.2,,922.59545,IV.T1244..HNE.D.EMSC-20161030_0000033.ACC.MP.ASC,IV.T1244..HNN.D.EMSC-20161030_0000033.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/T1244/00/EMSC-20161030_0000033/HG
36,IT,SPT1,IT-2013-0019,1.6768643035843966,0.005,13196,5.0,,870.4126539999999,IT.SPT1..HGE.D.IT-2013-0019.ACC.MP.ASC,IT.SPT1..HGN.D.IT-2013-0019.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/SPT1/00/IT-2013-0019/HG
37,IV,T1216,EMSC-20161030_0000029,0.5645544976494241,0.005,25104,6.5,3.06,804.820331,IV.T1216..HNE.D.EMSC-20161030_0000029.ACC.MP.ASC,IV.T1216..HNN.D.EMSC-20161030_0000029.ACC.MP.ASC,https://esm-db.eu/#/waveform/IV/T1216/00/EMSC-20161030_0000029/HG
38,IT,AQP,IT-2009-0102,1.8596754123805264,0.005,18000,5.5,9.58,836.0,IT.AQP..HNE.D.IT-2009-0102.ACC.MP.ASC,IT.AQP..HNN.D.IT-2009-0102.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/AQP/00/IT-2009-0102/HG
39,IT,MNF,EMSC-20160824_0000006,2.8179862894299643,0.005,9395,6.0,20.37,980.827142,IT.MNF..HGE.D.EMSC-20160824_0000006.ACC.MP.ASC,IT.MNF..HGN.D.EMSC-20160824_0000006.ACC.MP.ASC,https://esm-db.eu/#/waveform/IT/MNF/00/EMSC-20160824_0000006/HG
