#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, kind='mean', investigation_time=50.0, imt='SA(2.0)'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
11.58000,42.32000,0.00000,3.148019E-01,2.022770E-01,1.228224E-01,7.144079E-02,4.027682E-02,2.219889E-02,1.201446E-02,6.381190E-03,3.306645E-03,1.654249E-03,7.869129E-04,3.489916E-04,1.411574E-04,5.069334E-05,1.543412E-05,3.647322E-06,5.624227E-07,4.155040E-08,1.333636E-09,0.000000E+00
13.10000,42.79000,0.00000,7.951928E-01,6.639655E-01,5.215881E-01,3.879401E-01,2.754613E-01,1.880780E-01,1.240348E-01,7.912897E-02,4.878677E-02,2.898525E-02,1.651459E-02,8.962134E-03,4.592700E-03,2.198882E-03,9.698922E-04,3.874388E-04,1.371481E-04,4.135593E-05,9.759525E-06,1.482631E-06
